"","campaignid","sample","latitude","longitude","ID","aspect","depth","ew_vel","gravel","mud","ns_vel","sand","slope","surface","v_vel"
"1","2020-06_south-west_stereo-BRUVs","01",-34.128599,114.930865,1,72.4075775146484,-40,-0.121122501790524,19.4471206665039,0,0.352082490921021,80.5528793334961,1.11367845535278,76511.953125,1.27720397813391e-06
"2","2020-06_south-west_stereo-BRUVs","02",-34.125316,114.928838,2,29.3577537536621,-41,-0.121122501790524,24.1538200378418,0,0.352082490921021,75.8461837768555,0.950678646564484,76506.578125,1.27720397813391e-06
"3","2020-06_south-west_stereo-BRUVs","03",-34.126906,114.925945,3,34.6951522827148,-39,-0.121122501790524,24.1538200378418,0,0.352082490921021,75.8461837768555,0.409440934658051,76493.7109375,1.27720397813391e-06
"4","2020-06_south-west_stereo-BRUVs","04",-34.122634,114.920337,4,55.3048477172852,-43,-0.121122501790524,24.1538200378418,0,0.352082490921021,75.8461837768555,0.409440934658051,76494.2109375,1.27720397813391e-06
"5","2020-06_south-west_stereo-BRUVs","05",-34.131497,114.915753,5,293.198577880859,-43,-0.121122501790524,14.9110803604126,0,0.352082490921021,85.0889129638672,0.591627657413483,76496.203125,1.27720397813391e-06
"6","2020-06_south-west_stereo-BRUVs","06",-34.132842,114.912405,6,45,-43,-0.131454363465309,14.9110803604126,0,0.291657686233521,85.0889129638672,0.036622129380703,76490.703125,4.38574352301657e-06
"7","2020-06_south-west_stereo-BRUVs","07",-34.134771,114.910241,7,45,-43,-0.131454363465309,14.9110803604126,0,0.291657686233521,85.0889129638672,0.036622129380703,76490.703125,4.38574352301657e-06
"8","2020-06_south-west_stereo-BRUVs","08",-34.129352,114.911755,8,218.659805297852,-42,-0.121122501790524,14.9110803604126,0,0.352082490921021,85.0889129638672,0.331623822450638,76493.0859375,1.27720397813391e-06
"9","2020-06_south-west_stereo-BRUVs","09",-34.119541,114.916105,9,56.3099327087402,-44,-0.121122501790524,26.5323600769043,0,0.352082490921021,73.467643737793,0.186736315488815,76491.9609375,1.27720397813391e-06
"10","2020-06_south-west_stereo-BRUVs","10",-34.117294,114.918685,10,135,-44,-0.121122501790524,24.1538200378418,0,0.352082490921021,75.8461837768555,0.036622129380703,76490.9609375,1.27720397813391e-06
"11","2020-06_south-west_stereo-BRUVs","11",-34.117752,114.92306,11,180,-44,-0.121122501790524,24.1538200378418,0,0.352082490921021,75.8461837768555,0.0517915040254593,76490.828125,1.27720397813391e-06
"12","2020-06_south-west_stereo-BRUVs","12",-34.132262,114.928545,12,129.559661865234,-36,-0.121122501790524,24.3665904998779,0.15213580429554,0.352082490921021,75.4812774658203,0.772497951984406,76500.328125,1.27720397813391e-06
"13","2020-06_south-west_stereo-BRUVs","13",-34.128506,114.930547,13,72.4075775146484,-40,-0.121122501790524,19.4471206665039,0,0.352082490921021,80.5528793334961,1.11367845535278,76511.953125,1.27720397813391e-06
"14","2020-06_south-west_stereo-BRUVs","14",-34.128381,114.925457,14,12.7243556976318,-33,-0.121122501790524,24.3665904998779,0.15213580429554,0.352082490921021,75.4812774658203,0.822923541069031,76505.078125,1.27720397813391e-06
"15","2020-06_south-west_stereo-BRUVs","15",-34.125012,114.91032,15,274.398712158203,-40,-0.121122501790524,26.5323600769043,0,0.352082490921021,73.467643737793,0.337635487318039,76493.5859375,1.27720397813391e-06
"16","2020-06_south-west_stereo-BRUVs","16",-34.126181,114.906548,16,284.036254882812,-43,-0.194728195667267,26.5323600769043,0,0.0461677685379982,73.467643737793,0.2135409116745,76492.453125,1.10210203274619e-05
