"campaignid","sample","latitude","longitude","broad.macroalgae","broad.seagrasses","broad.unconsolidated","broad.sponges","broad.consolidated","broad.stony.corals","broad.ascidians","broad.bryozoa","broad.crinoids","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.true.anemones","broad.sea.stars","broad.total.points.annotated","sessile.inverts"
"2020-06_south-west_stereo-BRUVs","29","-34.111084","114.855648",18,0,5,1,2,0,0,0,0,0,0,0,0,0,26,1
"2020-06_south-west_stereo-BRUVs","30","-34.112094","114.85946",23,1,1,4,1,0,0,0,0,0,0,0,0,0,30,4
"2020-06_south-west_stereo-BRUVs","31","-34.116007","114.860738",5,0,18,0,13,0,0,0,0,0,0,0,0,0,36,0
"2020-06_south-west_stereo-BRUVs","32","-34.130076","114.86109",26,0,4,0,2,0,0,0,0,0,0,0,0,0,32,0
"2020-06_south-west_stereo-BRUVs","33","-34.133067","114.8627",9,1,15,0,9,0,0,0,0,0,0,0,0,0,34,0
"2020-06_south-west_stereo-BRUVs","34","-34.131334","114.866053",9,0,8,0,19,0,0,0,0,0,0,0,0,0,36,0
"2020-06_south-west_stereo-BRUVs","35","-34.134801","114.869348",15,0,4,3,6,0,0,1,0,0,0,0,0,0,29,4
"2020-06_south-west_stereo-BRUVs","36","-34.130484","114.878263",6,0,23,0,7,0,0,0,0,0,0,0,0,0,36,0
"2020-06_south-west_stereo-BRUVs","37","-34.126354","114.878937",17,1,8,2,2,0,0,0,0,0,0,0,0,0,30,2
"2020-06_south-west_stereo-BRUVs","38","-34.127912","114.883938",13,0,15,0,3,0,0,0,0,0,0,0,0,0,31,0
"2020-06_south-west_stereo-BRUVs","39","-34.132294","114.884797",16,2,9,0,5,0,0,0,0,0,0,0,0,0,32,0
"2020-06_south-west_stereo-BRUVs","40","-34.133669","114.880443",21,2,2,5,4,0,0,1,0,0,0,0,0,0,35,6
"2020-10_south-west_stereo-BRUVs","FH10","-33.98618897","114.8863721",13,5,1,1,12,0,0,0,0,0,0,0,0,0,32,1
"2020-10_south-west_stereo-BRUVs","FH102","-33.68868897","114.9288721",0,0,35,0,0,0,0,0,0,0,0,0,0,0,35,0
"2020-10_south-west_stereo-BRUVs","FH106","-33.78868897","114.8163721",19,0,6,0,6,0,0,0,0,0,0,0,0,0,31,0
"2020-10_south-west_stereo-BRUVs","FH108","-33.76118897","114.9238721",15,0,14,0,2,0,1,0,0,0,0,0,0,0,32,0
"2020-10_south-west_stereo-BRUVs","FH109","-33.91618897","114.9088721",10,7,4,11,4,0,0,0,0,0,0,0,0,0,36,11
