campaignid,sample,latitude,longitude,date,time.bottom,site,location,visibility,image,fov.Limited,fov.Open,mean.relief,sd.relief,broad.Consolidated,broad.Macroalgae,broad.Seagrasses,broad.Sponges,broad.Stony corals,broad.Unconsolidated,broad.Unknown,Total.Sum
2021-04_FRDC_BOSS,C517,-32.75558,115.6198167,7/04/2021,10:30:59,Mandurah,Perth,Good,Bottom,0,100,0.023809524,0.15430335,0,0,0,0,0,63,0,63
2021-04_FRDC_BOSS,C549,-32.750035,115.616995,7/04/2021,10:39:30,Mandurah,Perth,Good,Bottom,0,100,0.625,0.627877989,0,4,0,0,0,51,6,61
2021-04_FRDC_BOSS,C533,-32.75502833,115.6026583,7/04/2021,10:50:17,Mandurah,Perth,Good,Bottom,0,100,2.976744186,0.15249857,0,3,51,0,0,2,5,61
2021-04_FRDC_BOSS,C561,-32.75841,115.589025,7/04/2021,11:12:24,Mandurah,Perth,Good,Top,0,100,0.05,0.219784178,0,0,0,0,0,80,0,80
2021-04_FRDC_BOSS,C504,-32.753605,115.5791817,7/04/2021,11:22:47,Mandurah,Perth,Good,Top,0,100,2.05,1.170614788,0,38,0,0,0,40,0,78
2021-04_FRDC_BOSS,C555,-32.75919667,115.5720367,7/04/2021,11:32:20,Mandurah,Perth,Good,Top,0,100,3,0,0,61,0,0,0,0,11,72
2021-04_FRDC_BOSS,C523,-32.749195,115.5514483,7/04/2021,11:45:44,Mandurah,Perth,Good,Top,0,100,2.978723404,0.145864991,0,67,0,0,0,0,2,69
2021-04_FRDC_BOSS,C562,-32.731935,115.5578683,7/04/2021,11:58:21,Mandurah,Perth,Good,Top,0,100,3,0,0,58,5,0,0,0,4,67
2021-04_FRDC_BOSS,C508,-32.73598,115.569855,7/04/2021,12:08:48,Mandurah,Perth,Good,Top,0,100,0.886792453,0.506130774,0,15,0,0,0,60,5,80
2021-04_FRDC_BOSS,C551,-32.73031833,115.5731167,7/04/2021,12:17:54,Mandurah,Perth,Good,Top,0,100,2.983050847,0.130188911,0,73,0,0,0,1,1,75
2021-04_FRDC_BOSS,C519,-32.74691167,115.5835017,7/04/2021,12:30:02,Mandurah,Perth,Good,Top,0,100,0.5,0.85370578,0,10,0,0,0,70,0,80
2021-04_FRDC_BOSS,C541,-32.741435,115.587285,7/04/2021,12:40:02,Mandurah,Perth,Good,Top,0,100,0,0,0,0,0,0,0,80,0,80
2021-04_FRDC_BOSS,C525,-32.74059,115.5971217,7/04/2021,12:49:03,Mandurah,Perth,Good,Top,0,100,2.022727273,0.150755672,1,63,0,0,0,0,10,74
